ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2,Date,
7022837,Neemias Queta,BOS,SAS,,6000,10.1,4.04,6.1,18.2,C,,12022025,
7023250,Jaylon Tyson,CLE,TOR,,6000,10,4,6,18,SG,,12022025,
7023109,Jaime Jaquez,MIA,OKC,GAME TIME DECISION,8180,13.5,5.4,8.1,24.3,SF,PF,12022025,
7001066,Taj Gibson,CHA,ORL,,6000,9.9,3.96,5.9,17.8,C,,12022025,
7001117,Andre Drummond,PHI,BKN,,7440,12.2,4.88,7.3,22,C,,12022025,
7023030,Gui Santos,GSW,DAL,,6000,9.8,3.92,5.9,17.6,PF,,12022025,
7023104,Ben Sheppard,IND,WAS,,7850,12.8,5.12,7.7,23,SG,SF,12022025,
7023311,Jamal Shead,TOR,CLE,,8150,13.2,5.28,7.9,23.8,PG,,12022025,
7023033,Julian Champagnie,SAS,BOS,,7560,12.2,4.88,7.3,22,SF,,12022025,
7022348,Aaron Holiday,HOU,PHX,,6000,9.6,3.84,5.8,17.3,PG,SG,12022025,
7023173,Craig Porter,CLE,TOR,,6000,9.6,3.84,5.8,17.3,PG,,12022025,
7001501,Torrey Craig,BOS,SAS,,6480,10.2,4.08,6.1,18.4,PF,,12022025,
7023260,Ja'Kobe Walter,TOR,CLE,,7410,11.6,4.64,7,20.9,SG,,12022025,
7000808,Kyle Anderson,MIA,OKC,,6000,9.3,3.72,5.6,16.7,SF,PF,12022025,
7022584,Javonte Green,NOP,SAC,,6000,9.2,3.68,5.5,16.6,SG,SF,12022025,
7023001,Jake LaRavia,SAC,NOP,,7270,11.1,4.44,6.7,20,PF,,12022025,
7001030,Dennis Schroder,DET,CHI,,10620,16.2,6.48,9.7,29.2,PG,,12022025,
7022541,Keldon Johnson,SAS,BOS,,8030,12.2,4.88,7.3,22,SF,PF,12022025,
7001326,Trey Lyles,SAC,NOP,,6020,9,3.6,5.4,16.2,PF,C,12022025,
7001137,Joe Ingles,MIN,MIL,,6000,8.9,3.56,5.3,16,SF,,12022025,
7022961,Scotty Pippen,MEM,LAC,,8900,13.2,5.28,7.9,23.8,PG,,12022025,
