Player_ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position1,Position2,Projected_Ownership,Exposure,MIN,MAX
8001793,Braeden Campbell,SYD,COL,Start,9440,57.9,23.83104947,34.1,105.6,FWD,MID,28,0.0,0,80
8002525,Tom Hanily,SYD,COL,Start,6470,49.5,19.72097023,29.8,88.9,FWD,,15,0.0,0,80
8000318,Daniel McStay,COL,SYD,Start,9990,63.2,20.84204973,42.4,104.9,FWD,RK,43,0.0,0,80
8000730,Jamie Elliott,COL,SYD,Start,9110,60.9,21.94156365,39.0,104.8,FWD,,10,0.0,0,80
8001388,Isaac Quaynor,COL,SYD,Start,7190,54.0,18.48989254,35.5,91.0,DEF,,15,0.0,0,80
8000219,Steele Sidebottom,COL,SYD,Start,13470,81.4,24.47614235,56.9,130.4,MID,,26,0.0,0,80
8001904,Matt Roberts,SYD,COL,Start,14210,87.1,33.90787824,53.2,154.9,DEF,,16,0.0,0,80
8001421,Bobby Hill,COL,SYD,Start,8080,55.6,18.39276263,37.2,92.4,FWD,,8,0.0,0,80
8001464,Nick Blakey,SYD,COL,Start,12310,76.1,23.46282761,52.6,123.0,DEF,,9,0.0,0,80
8000874,Oliver Florent,SYD,COL,Start,10650,69.6,20.72115453,48.9,111.0,DEF,,9,0.0,0,80
8001000,Tom McCartin,SYD,COL,Start,6940,52.3,16.07243272,36.2,84.4,DEF,,18,20.0,0,80
