Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status,Score,Selected %,Exclude,Date
7023111,PF,Jett Howard,Orlando Magic,Chicago Bulls,6000,8.1,7.5,,8,0,,6032025
7023160,SF,Ricky Council,Philadelphia 76ers,Boston Celtics,6000,11.68,6.25,,9.5,0,,6032025
7023160,PF,Ricky Council,Philadelphia 76ers,Boston Celtics,6000,11.68,6.25,,9.5,0,,6032025
7001523,C,Thomas Bryant,Indiana Pacers,Atlanta Hawks,7440,15.93,15.17,,9.75,0,,6032025
7023263,PG,Reed Sheppard,Houston Rockets,New Orleans Pelicans,6000,9.11,19.17,,9.75,0,,6032025
7023263,SG,Reed Sheppard,Houston Rockets,New Orleans Pelicans,6000,9.11,19.17,,9.75,0,,6032025
7022989,SF,Dalen Terry,Chicago Bulls,Orlando Magic,6000,8.96,4.17,,11,0,,6032025
7023213,C,Trey Jemison,Los Angeles Lakers,New York Knicks,6000,8.18,11.08,,11,0,,6032025
7023287,C,Adem Bona,Philadelphia 76ers,Boston Celtics,6000,8.56,10.17,,11.5,0,,6032025
7000889,C,Clint Capela,Atlanta Hawks,Indiana Pacers,9320,24.52,17.83,,12.25,0,,6032025
7023911,SG,Alex Reese,Philadelphia 76ers,Boston Celtics,6000,3.38,3.38,,12.25,0,,6032025
7022347,C,Mitchell Robinson,New York Knicks,Los Angeles Lakers,6000,11.5,10.75,,13,0,,6032025
7023130,PF,Jalen Wilson,Brooklyn Nets,Golden State Warriors,6740,17.73,18.67,,13.25,0,,6032025
7001311,C,Kevon Looney,Golden State Warriors,Brooklyn Nets,6780,17.85,15.17,,14.75,0,,6032025
7022550,C,Goga Bitadze,Orlando Magic,Chicago Bulls,9550,25.14,12.17,,15.75,0,,6032025
7023030,PF,Gui Santos,Golden State Warriors,Brooklyn Nets,6160,11.03,17.17,,15.75,0,,6032025
7023030,SF,Gui Santos,Golden State Warriors,Brooklyn Nets,6160,11.03,17.17,,15.75,0,,6032025
7023129,PF,Jordan Walsh,Boston Celtics,Philadelphia 76ers,6000,4.45,7.67,,16,0,,6032025
7023129,SF,Jordan Walsh,Boston Celtics,Philadelphia 76ers,6000,4.45,7.67,,16,0,,6032025
7022890,PG,Jeff Dowtin,Philadelphia 76ers,Boston Celtics,6000,8.57,12.75,,19.25,0,,6032025
7022703,C,Jalen Smith,Chicago Bulls,Orlando Magic,9430,19.07,24.25,,20.25,0,,6032025
7001213,C,Steven Adams,Houston Rockets,New Orleans Pelicans,6000,12.64,13.17,,23,0,,6032025
7023004,PF,Karlo Matkovic,New Orleans Pelicans,Houston Rockets,7410,13.76,14.17,,23.5,0,,6032025
7023004,C,Karlo Matkovic,New Orleans Pelicans,Houston Rockets,7410,13.76,14.17,,23.5,0,,6032025
7023253,SG,Baylor Scheierman,Boston Celtics,Philadelphia 76ers,6000,3.57,1.83,,26.75,0,,6032025
7023253,SF,Baylor Scheierman,Boston Celtics,Philadelphia 76ers,6000,3.57,1.83,,26.75,0,,6032025
7023315,C,Quinten Post,Golden State Warriors,Brooklyn Nets,8380,17.02,19.58,,26.75,0,,6032025
