Slate_ID,Player_ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2,FPPG,Form,Playing Status,Score,Selected %,Exclude,PG,SG,SF,PF,C,Dual_Position,Viable_Player,Value,Pos_Value_Rank,Pos2_Value_Rank,Viable_PG_Count,Avg_PG_Value,Viable_SG_Count,Avg_SG_Value,Viable_SF_Count,Avg_SF_Value,Viable_PF_Count,Avg_PF_Value,Viable_C_Count,Avg_C_Value,Unnamed: 13
11022025,7001366,Tyus Jones,PHX,3,0,9990,25.3,10.12,15.2,45.5,PG,,25.6,35.5,,32.25,32.0,,1,0,0,0,0,0,1,2.532532533,8.0,,18.0,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7022816,Ayo Dosunmu,CHI,1,0,10610,26.8,10.72,16.1,48.2,SG,SF,26.2,18.5,IN STARTING LINEUP,17.25,15.0,,0,1,1,0,0,1,1,2.525918944,8.0,8.0,,1.7048917,25.0,1.751623614,27.0,1.89360501,,1.973294121,,1.845209544,
11022025,7001049,Tim Hardaway,DET,0,0,7790,19.6,7.84,11.8,35.3,SG,SF,17.66,15.67,IN STARTING LINEUP,10.75,21.0,,0,1,1,0,0,1,1,2.516046213,9.0,9.0,,1.7048917,25.0,1.751623614,27.0,1.89360501,,1.973294121,,1.845209544,
11022025,7022549,Brandon Clarke,MEM,6,1,7440,18.7,7.48,11.2,33.7,PF,C,18.31,22.58,,27.75,3.0,,0,0,0,1,1,1,1,2.51344086,5.0,2.0,,1.7048917,,1.751623614,,1.89360501,19.0,1.973294121,19.0,1.845209544,
11022025,7023310,Jonathan Mogbo,TOR,5,0,11280,28.0,11.2,16.8,50.4,PF,C,15.35,24.75,IN STARTING LINEUP,20.75,8.0,,0,0,0,1,1,1,1,2.482269504,6.0,3.0,,1.7048917,,1.751623614,,1.89360501,19.0,1.973294121,19.0,1.845209544,
11022025,7022679,Patrick Williams,CHI,1,1,8410,20.8,8.32,12.5,37.4,PF,,20.36,12.5,,9.25,3.0,,0,0,0,1,0,0,1,2.473246136,7.0,,,1.7048917,,1.751623614,,1.89360501,19.0,1.973294121,,1.845209544,
11022025,7022713,Nick Richards,PHX,3,0,9620,23.7,9.48,14.2,42.7,C,,23.38,23.25,,12.5,4.0,,0,0,0,0,1,0,1,2.463617464,9.0,,,1.7048917,,1.751623614,,1.89360501,,1.973294121,19.0,1.845209544,
11022025,7001313,Kelly Oubre,PHI,7,0,13380,32.6,13.04,19.6,58.7,SF,PF,29.48,30.58,IN STARTING LINEUP,30.25,7.0,,0,0,1,1,0,1,1,2.436472347,6.0,5.0,,1.7048917,,1.751623614,27.0,1.89360501,19.0,1.973294121,,1.845209544,
11022025,7022982,Andrew Nembhard,IND,4,0,10090,24.5,9.8,14.7,44.1,SG,,24.35,13.0,IN STARTING LINEUP,17.75,12.0,,0,1,0,0,0,0,1,2.42814668,10.0,,,1.7048917,25.0,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7022805,Miles McBride,NYK,2,1,7390,17.9,7.16,10.7,32.2,PG,SG,18.9,16.83,,21.75,21.0,,1,1,0,0,0,1,1,2.422192152,9.0,3.0,18.0,1.7048917,25.0,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7001528,Chris Boucher,TOR,5,1,7330,17.7,7.08,10.6,31.9,PF,C,19.11,13.92,,11.0,11.0,,0,0,0,1,1,1,1,2.41473397,8.0,4.0,,1.7048917,,1.751623614,,1.89360501,19.0,1.973294121,19.0,1.845209544,
11022025,7022839,Santi Aldama,MEM,6,1,10750,25.7,10.28,15.4,46.3,PF,C,28.22,24.42,,25.25,3.0,,0,0,0,1,1,1,1,2.390697674,9.0,5.0,,1.7048917,,1.751623614,,1.89360501,19.0,1.973294121,19.0,1.845209544,
11022025,7022703,Jalen Smith,CHI,1,1,9100,21.5,8.6,12.9,38.7,PF,C,19.09,18.92,,13.75,3.0,,0,0,0,1,1,1,1,2.362637363,10.0,6.0,,1.7048917,,1.751623614,,1.89360501,19.0,1.973294121,19.0,1.845209544,
11022025,7022677,Aaron Nesmith,IND,4,1,6370,15.0,6.0,9.0,27.0,SF,SG,15.6,11.83,IN STARTING LINEUP,6.5,27.0,,0,1,1,0,0,1,1,2.354788069,7.0,4.0,,1.7048917,25.0,1.751623614,27.0,1.89360501,,1.973294121,,1.845209544,
11022025,7022993,Ochai Agbaji,TOR,5,0,8600,20.2,8.08,12.1,36.4,SG,SF,20.69,20.25,IN STARTING LINEUP,17.0,30.0,,0,1,1,0,0,1,1,2.348837209,11.0,10.0,,1.7048917,25.0,1.751623614,27.0,1.89360501,,1.973294121,,1.845209544,
11022025,7022998,Vince Williams,MEM,6,1,6000,14.0,5.6,8.4,25.2,SG,SF,14.83,14.92,,19.75,3.0,,0,1,1,0,0,1,1,2.333333333,12.0,11.0,,1.7048917,25.0,1.751623614,27.0,1.89360501,,1.973294121,,1.845209544,
11022025,7022681,Tyrese Maxey,PHI,7,0,20660,47.9,19.16,28.7,86.2,PG,,46.27,38.5,IN STARTING LINEUP,14.25,3.0,,1,0,0,0,0,0,1,2.318489835,10.0,,18.0,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7022847,Jared Butler,PHI,7,1,6000,13.9,5.56,8.3,25.0,SG,PG,13.55,17.0,,28.5,2.0,,1,1,0,0,0,1,1,2.316666667,13.0,3.0,18.0,1.7048917,25.0,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7023264,Zach Edey,MEM,6,0,10590,24.3,9.72,14.6,43.7,C,,24.16,24.17,,21.25,5.0,,0,0,0,0,1,0,1,2.294617564,10.0,,,1.7048917,,1.751623614,,1.89360501,,1.973294121,19.0,1.845209544,
11022025,7023102,Ausar Thompson,DET,0,0,10910,25.0,10.0,15.0,45.0,SF,SG,22.0,35.42,IN STARTING LINEUP,36.75,15.0,,0,1,1,0,0,1,1,2.29147571,8.0,5.0,,1.7048917,25.0,1.751623614,27.0,1.89360501,,1.973294121,,1.845209544,
11022025,7022300,Kevin Huerter,CHI,1,1,6290,14.4,5.76,8.6,25.9,SG,SF,16.57,13.08,,17.75,12.0,,0,1,1,0,0,1,1,2.289348172,14.0,12.0,,1.7048917,25.0,1.751623614,27.0,1.89360501,,1.973294121,,1.845209544,
11022025,7023240,Matas Buzelis,CHI,1,0,10230,23.3,9.32,14.0,41.9,SF,,13.08,26.17,IN STARTING LINEUP,15.25,22.0,,0,0,1,0,0,0,1,2.277614858,9.0,,,1.7048917,,1.751623614,27.0,1.89360501,,1.973294121,,1.845209544,
11022025,7022956,Orlando Robinson,TOR,5,1,6990,15.9,6.36,9.5,28.6,C,,8.75,16.17,,14.0,2.0,,0,0,0,0,1,0,1,2.274678112,11.0,,,1.7048917,,1.751623614,,1.89360501,,1.973294121,19.0,1.845209544,
11022025,7001593,Luke Kennard,MEM,6,1,7700,17.5,7.0,10.5,31.5,SG,PG,19.98,10.83,,9.0,2.0,,1,1,0,0,0,1,1,2.272727273,15.0,4.0,18.0,1.7048917,25.0,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7023260,Ja'Kobe Walter,TOR,5,1,8030,18.0,7.2,10.8,32.4,SG,,14.86,17.17,,14.75,2.0,,0,1,0,0,0,0,1,2.241594022,16.0,,,1.7048917,25.0,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7022702,Precious Achiuwa,NYK,2,1,10010,21.7,8.68,13.0,39.1,PF,C,18.85,26.17,IN STARTING LINEUP,28.5,19.0,,0,0,0,1,1,1,1,2.167832168,11.0,7.0,,1.7048917,,1.751623614,,1.89360501,19.0,1.973294121,19.0,1.845209544,
11022025,7022984,Bennedict Mathurin,IND,4,0,10700,23.1,9.24,13.9,41.6,SG,SF,28.21,30.67,,30.25,8.0,,0,1,1,0,0,1,1,2.158878505,17.0,13.0,,1.7048917,25.0,1.751623614,27.0,1.89360501,,1.973294121,,1.845209544,
11022025,7001409,Pascal Siakam,IND,4,0,16530,35.3,14.12,21.2,63.5,PF,SF,38.35,45.67,IN STARTING LINEUP,38.75,4.0,,0,0,1,1,0,1,1,2.135511192,12.0,14.0,,1.7048917,,1.751623614,27.0,1.89360501,19.0,1.973294121,,1.845209544,
11022025,7023286,Justin Edwards,PHI,7,0,8120,17.2,6.88,10.3,31.0,SG,SF,16.19,15.08,IN STARTING LINEUP,13.5,14.0,,0,1,1,0,0,1,1,2.118226601,18.0,15.0,,1.7048917,25.0,1.751623614,27.0,1.89360501,,1.973294121,,1.845209544,
11022025,7001572,Guerschon Yabusele,PHI,7,1,12030,25.2,10.08,15.1,45.4,PF,C,23.88,25.08,,21.0,1.0,,0,0,0,1,1,1,1,2.094763092,13.0,8.0,,1.7048917,,1.751623614,,1.89360501,19.0,1.973294121,19.0,1.845209544,
11022025,7001594,OG Anunoby,NYK,2,0,13020,27.2,10.88,16.3,49.0,SF,PF,30.25,31.5,PLAYER IS INJURED BUT IS A GAME TIME DECISION TO PLAY,0.0,0.0,Y,0,0,1,1,0,1,1,2.089093702,10.0,6.0,,1.7048917,,1.751623614,27.0,1.89360501,19.0,1.973294121,,1.845209544,
11022025,7001322,T.J. McConnell,IND,4,1,8410,17.2,6.88,10.3,31.0,PG,,22.01,16.58,,16.75,1.0,,1,0,0,0,0,0,1,2.045184304,11.0,,18.0,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7001341,Cameron Payne,NYK,2,1,6000,11.6,4.64,7.0,20.9,PG,,15.1,19.5,,25.75,4.0,,1,0,0,0,0,0,0,1.933333333,12.0,,,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7023105,Jarace Walker,IND,4,1,6000,11.6,4.64,7.0,20.9,PF,,14.7,6.92,,7.25,2.0,,0,0,0,1,0,0,0,1.933333333,14.0,,,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7023255,Ryan Dunn,PHX,3,0,6000,11.6,4.64,7.0,20.9,SF,,14.51,8.83,,1.25,5.0,,0,0,1,0,0,0,0,1.933333333,11.0,,,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7023238,Ron Holland,DET,0,1,6000,11.5,4.6,6.9,20.7,SF,,12.31,12.33,,8.75,1.0,,0,0,1,0,0,0,0,1.916666667,12.0,,,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7023104,Ben Sheppard,IND,4,1,7850,15.0,6.0,9.0,27.0,SG,SF,13.43,19.33,,15.0,2.0,,0,1,1,0,0,1,1,1.910828025,19.0,16.0,,1.7048917,25.0,1.751623614,27.0,1.89360501,,1.973294121,,1.845209544,
11022025,7023318,Jaylen Wells,MEM,6,0,7410,14.1,5.64,8.5,25.4,SF,SG,19.42,12.25,,15.5,4.0,,0,1,1,0,0,1,1,1.902834008,13.0,6.0,,1.7048917,25.0,1.751623614,27.0,1.89360501,,1.973294121,,1.845209544,
11022025,7023311,Jamal Shead,TOR,5,1,8170,14.1,5.64,8.5,25.4,PG,,13.9,17.83,,15.75,1.0,,1,0,0,0,0,0,1,1.725826193,13.0,,18.0,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7023918,Jamison Battle,TOR,5,1,6000,10.0,4.0,6.0,18.0,SF,,9.78,7.75,,4.75,0.0,,0,0,1,0,0,0,0,1.666666667,14.0,,,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7023036,Simone Fontecchio,DET,0,1,6000,9.8,3.92,5.9,17.6,SF,PF,12.73,18.0,,25.5,1.0,,0,0,1,1,0,1,0,1.633333333,15.0,7.0,,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7001030,Dennis Schroder,DET,0,1,10620,16.2,6.48,9.7,29.2,PG,,27.63,13.17,,12.0,0.0,,1,0,0,0,0,0,1,1.525423729,14.0,,18.0,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7022961,Scotty Pippen,MEM,6,1,8900,13.3,5.32,8.0,23.9,PG,,23.24,14.67,,13.25,0.0,,1,0,0,0,0,0,1,1.494382022,15.0,,18.0,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7001117,Andre Drummond,PHI,7,1,7440,10.1,4.04,6.1,18.2,C,,19.59,13.67,,0.0,0.0,,0,0,0,0,1,0,0,1.357526882,12.0,,,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7001481,Monte Morris,PHX,3,1,6000,5.5,2.2,3.3,9.9,PG,,10.14,6.33,,0.0,0.0,,1,0,0,0,0,0,0,0.916666667,16.0,,,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7022287,Damion Lee,PHX,3,1,6000,5.2,2.08,3.1,9.4,SG,,6.05,7.58,,0.0,0.0,,0,1,0,0,0,0,0,0.866666667,20.0,,,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7023131,Julian Phillips,CHI,1,1,6000,3.3,1.32,2.0,5.9,SF,,8.7,8.25,,8.75,0.0,,0,0,1,0,0,0,0,0.55,16.0,,,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7022989,Dalen Terry,CHI,1,1,6000,2.8,1.12,1.7,5.0,SF,,8.72,8.0,,12.25,0.0,,0,0,1,0,0,0,0,0.466666667,17.0,,,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7023006,TyTy Washington,PHX,3,1,6000,2.1,0.84,1.3,3.8,PG,,7.5,8.42,,10.25,0.0,,1,0,0,0,0,0,0,0.35,17.0,,,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7022535,Bol Bol,PHX,3,1,8620,2.2,0.88,1.3,4.0,PF,,11.66,39.17,,52.5,4.0,,0,0,0,1,0,0,0,0.255220418,15.0,,,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7000978,Garrett Temple,TOR,5,1,6000,0.0,0.0,0.0,0.0,SG,SF,3.21,3.0,,0.0,0.0,,0,1,1,0,0,1,0,0.0,24.0,18.5,,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7001023,James Johnson,IND,4,1,6000,0.0,0.0,0.0,0.0,PF,,2.23,0.92,,0.0,0.0,,0,0,0,1,0,0,0,0.0,17.5,,,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7001323,Jahlil Okafor,IND,4,1,6000,0.0,0.0,0.0,0.0,C,,2.75,2.75,,2.75,1.0,,0,0,0,0,1,0,0,0.0,15.5,,,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
11022025,7001331,Delon Wright,NYK,2,1,6000,0.0,0.0,0.0,0.0,PG,SG,9.54,7.25,,0.0,0.0,,1,1,0,0,0,1,0,0.0,20.5,7.5,,1.7048917,,1.751623614,,1.89360501,,1.973294121,,1.845209544,
