Slate_ID,Player_ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position1,Position2,FPPG,Form,Playing Status,Score,Selected %,Team_ID,Opponent_ID,Dual_Position,FWD_Count,FWD,MID_Count,MID,DEF_Count,DEF,RK_Count,RK,Status_ID,Value,Pos_Value_Rank,Pos2_Value_Rank,Avg_FWD_Value,Avg_MID_Value,Avg_DEF_Value,Avg_RK_Value
200320251,8000004,Patrick Cripps,CAR,HAW,In,15860,100.1,25.3873,74.7,150.9,MID,,102.0,102.0,CONFIRMED IN TEAM TO PLAY,88,20,3,10,0,15,0,17,1,18,0,4,0,0,6.3115,13.0,,6.2347,6.334,6.6279,6.3809
200320251,8000005,Charlie Curnow,CAR,HAW,In,10930,74.8,25.8385,49.0,126.5,FWD,,0.0,0.0,CONFIRMED IN TEAM TO PLAY,16,20,3,10,0,15,1,17,0,18,0,4,0,0,6.8435,4.0,,6.2347,6.334,6.6279,6.3809
200320251,8000007,Sam Docherty,CAR,HAW,In,12010,84.6,27.2599,57.3,139.1,MID,DEF,56.0,56.0,CONFIRMED IN TEAM TO PLAY,70,46,3,10,1,15,0,17,1,18,1,4,0,0,7.0441,5.0,2.0,6.2347,6.334,6.6279,6.3809
200320251,8000022,Jacob Weitering,CAR,HAW,In,9580,63.3,21.1257,42.2,105.6,DEF,,86.0,86.0,CONFIRMED IN TEAM TO PLAY,59,16,3,10,0,15,0,17,0,18,1,4,0,0,6.6075,12.0,,6.2347,6.334,6.6279,6.3809
200320251,8000099,Zac Williams,CAR,HAW,In,8250,59.5,25.6866,33.8,110.9,FWD,,49.0,49.0,CONFIRMED IN TEAM TO PLAY,47,20,3,10,0,15,1,17,0,18,0,4,0,0,7.2121,2.0,,6.2347,6.334,6.6279,6.3809
200320251,8000147,Adam Saad,CAR,HAW,In,10900,69.2,17.9312,51.3,105.1,DEF,,72.0,72.0,CONFIRMED IN TEAM TO PLAY,55,6,3,10,0,15,0,17,0,18,1,4,0,0,6.3486,15.0,,6.2347,6.334,6.6279,6.3809
200320251,8000167,Mitch McGovern,CAR,HAW,In,10080,65.8,19.5594,46.2,104.9,DEF,,52.0,52.0,CONFIRMED IN TEAM TO PLAY,48,6,3,10,0,15,0,17,0,18,1,4,0,0,6.5278,13.0,,6.2347,6.334,6.6279,6.3809
200320251,8000231,George Hewett,CAR,HAW,In,14000,96.5,24.1397,72.4,144.8,MID,,101.0,101.0,CONFIRMED IN TEAM TO PLAY,120,33,3,10,0,15,0,17,1,18,0,4,0,0,6.8929,7.0,,6.2347,6.334,6.6279,6.3809
200320251,8000355,Karl Amon,HAW,CAR,In,13450,89.5,25.4655,64.0,140.4,DEF,,109.0,109.0,CONFIRMED IN TEAM TO PLAY,91,23,10,3,0,15,0,17,0,18,1,4,0,0,6.6543,10.0,,6.2347,6.334,6.6279,6.3809
200320251,8000365,Jarman Impey,HAW,CAR,In,10170,69.3,22.6848,46.6,114.7,DEF,,58.0,58.0,CONFIRMED IN TEAM TO PLAY,65,12,10,3,0,15,0,17,0,18,1,4,0,0,6.8142,6.0,,6.2347,6.334,6.6279,6.3809
